date,open,high,low,close,dvol
2023-08-12,1846.77,1852.7,1844.93,1849.09,30.71
2023-08-13,1849.08,1859.99,1833.03,1838.98,33.43
2023-08-14,1838.98,1854.19,1833.27,1844.01,32.21
2023-08-15,1844,1845.65,1811.34,1827.19,31.45
2023-08-16,1827.19,1829.39,1795.15,1805.51,33.71
2023-08-17,1805.51,1808.18,1540,1681.42,45.77
2023-08-18,1681.46,1699.33,1640.18,1661.4,42.63
2023-08-19,1661.28,1696,1653.84,1669.65,41.71
2023-08-20,1669.65,1694.48,1661.83,1685.39,39.09
2023-08-21,1685.36,1688.1,1648.65,1667.2,40.31
2023-08-22,1667.2,1669.11,1579.34,1634.33,43.36
2023-08-23,1634.32,1700.46,1628.81,1679.22,40.12
2023-08-24,1679.21,1683.16,1634.73,1660.36,41.42
2023-08-25,1660.41,1676.19,1634.54,1652.75,38.17
2023-08-26,1652.77,1654.74,1643,1646.25,39.26
2023-08-27,1646.26,1659.43,1645.38,1657.51,39.19
2023-08-28,1657.5,1662.7,1621.04,1651.94,38.08
2023-08-29,1651.93,1745.88,1639.04,1729.34,38.11
2023-08-30,1729.26,1730.96,1694.98,1705.47,36.55
2023-08-31,1705.46,1726.16,1629.76,1645.58,36.93
2023-09-01,1645.58,1654.27,1601.69,1628.46,37.65
2023-09-02,1628.46,1644.64,1627.43,1636.83,36.07
2023-09-03,1636.83,1646.97,1624.93,1635.68,39.23
2023-09-04,1635.65,1644.57,1615.85,1629.75,38.77
2023-09-05,1629.75,1646.66,1608.85,1633.85,37.23
2023-09-06,1633.85,1669,1608.17,1632.08,39.5
2023-09-07,1632.09,1659.1,1622.41,1647.44,37.44
2023-09-08,1647.44,1658.29,1615.65,1635.94,36.94
2023-09-09,1635.94,1637.14,1629.32,1635.14,36.17
2023-09-10,1635.15,1635.66,1596.78,1616.65,38.76
2023-09-11,1616.68,1618.61,1530.6,1551.36,41.61
2023-09-12,1551.33,1624.99,1549.21,1593.07,39.57
2023-09-13,1592.92,1618.56,1581.65,1608.06,39.13
2023-09-14,1608.06,1644.4,1607.48,1627.18,37.97
2023-09-15,1627.17,1653.52,1611.52,1641.49,37.04
2023-09-16,1641.48,1652.54,1631.88,1634.87,36.54
2023-09-17,1634.87,1635.66,1612.35,1622.83,35.69
2023-09-18,1622.93,1669.43,1603.55,1636.94,37.4
2023-09-19,1636.93,1661.05,1626.77,1643.42,37.78
2023-09-20,1643.41,1649.57,1604.91,1622.27,35.84
2023-09-21,1622.26,1625.23,1567.81,1583.86,35.6
2023-09-22,1583.86,1602.43,1576.52,1593.03,33.32
2023-09-23,1593.04,1598.19,1587.97,1593.85,34.43
2023-09-24,1593.84,1600.89,1570.35,1580.64,35.34
2023-09-25,1580.59,1597.12,1563,1587.75,35.93
2023-09-26,1587.75,1598.84,1579.47,1593,34.81
2023-09-27,1593,1632.94,1582.38,1597.65,32.49
2023-09-28,1597.65,1668.55,1596.93,1652.94,38.57
2023-09-29,1652.94,1688.16,1648.33,1667.21,34.74
2023-09-30,1667.2,1694.25,1665.98,1670.84,35.16
2023-10-01,1670.84,1755.2,1668.51,1733.4,36.32
2023-10-02,1733.42,1743.84,1637.82,1662.62,36.43
2023-10-03,1662.62,1670.61,1643.56,1656.91,36.91
2023-10-04,1656.91,1657.91,1626.01,1646.58,34.81
2023-10-05,1646.58,1655.28,1608,1611.63,34.93
2023-10-06,1611.83,1662.23,1611.78,1645.95,34.34
2023-10-07,1645.9,1648.7,1631.01,1634.65,33.74
2023-10-08,1634.64,1642.33,1617.31,1633.78,35.75
2023-10-09,1633.77,1636.51,1548.22,1580.13,37.28
2023-10-10,1580.13,1595.15,1550.18,1567.63,36.55
2023-10-11,1567.63,1578.53,1545.5,1566.46,36.78
2023-10-12,1566.45,1568.05,1520.85,1539.25,36.51
2023-10-13,1539.26,1574.66,1537.31,1552.04,36.92
2023-10-14,1552.03,1561.53,1544.65,1554.87,36.76
2023-10-15,1554.98,1566.92,1548.3,1558.01,37.46
2023-10-16,1558.01,1641.41,1555.2,1600.02,36.91
2023-10-17,1600.03,1601.44,1552.74,1565.24,35.39
2023-10-18,1565.25,1586.27,1556.01,1563.67,34.75
2023-10-19,1563.66,1576.25,1542.36,1567.48,34.63
2023-10-20,1567.5,1632.11,1562,1604.96,38.43
2023-10-21,1604.94,1644.77,1593.06,1629.38,41.61
2023-10-22,1629.37,1668.28,1622.36,1664.43,45.52
2023-10-23,1664.43,1799.55,1657.95,1766.27,48.48
2023-10-24,1766.24,1854.62,1725.79,1785.28,50.66
2023-10-25,1785.06,1818.29,1760.2,1787.58,49.59
2023-10-26,1787.58,1865.86,1762.67,1803.57,50.89
2023-10-27,1803.56,1804.29,1745.05,1779.81,43.84
2023-10-28,1779.78,1803.48,1770.8,1776.48,46.05
2023-10-29,1776.48,1811.68,1763.25,1795.74,49.93
2023-10-30,1795.63,1830.64,1778.24,1809.69,50.31
2023-10-31,1809.67,1820,1781.62,1815.14,51.68
2023-11-01,1815.14,1859,1783.48,1847.74,55.87
2023-11-02,1847.74,1875,1785.03,1801.31,56.46
2023-11-03,1801.31,1836.16,1777,1833.76,55.39
2023-11-04,1833.64,1870.32,1825.11,1857.23,58.79
2023-11-05,1857.17,1913.57,1847.46,1893.16,61.06
2023-11-06,1893.13,1916.13,1870.64,1901.68,58.1
2023-11-07,1901.67,1908.07,1851.01,1885.93,55.69
2023-11-08,1885.93,1905.3,1873.55,1888.84,56.14
2023-11-09,1888.86,2131.91,1882.84,2121.3,64.58
2023-11-10,2120.88,2136.53,2066,2078.57,58.02
2023-11-11,2078.57,2091.61,2032.14,2053.83,58.99
2023-11-12,2053.94,2066.93,2013.5,2046.06,59.6
2023-11-13,2046.06,2118.65,2029.28,2053.99,62.47
2023-11-14,2054.31,2065.48,1933,1979.61,61.27
2023-11-15,1979.45,2063.58,1967.19,2059.38,63.54
2023-11-16,2059.46,2100,1909.37,1961.76,58.39
2023-11-17,1961.66,1991.25,1906.15,1961.57,57.22
2023-11-18,1961.53,1972.38,1917.96,1963.76,54.43
2023-11-19,1963.75,2016.6,1944.65,2012.29,57.2
2023-11-20,2012.68,2067.79,1993.59,2022.55,57.46
2023-11-21,2022.56,2035.77,1930.86,1933.45,55.37
2023-11-22,1933.52,2092.66,1929.26,2063.94,54.87
2023-11-23,2063.95,2089.18,2040.23,2062.78,54.03
2023-11-24,2062.51,2134.16,2059.7,2082.61,54.25
2023-11-25,2082.74,2091.72,2067.11,2084.02,54.35
2023-11-26,2084,2095.16,2037.8,2063.09,53.58
2023-11-27,2063.13,2072,1985.72,2027.47,50.25
2023-11-28,2027.46,2076,1995.29,2049.08,48.99
2023-11-29,2048.94,2075.84,2019.63,2029.11,50.17
2023-11-30,2029.14,2055.74,2020.96,2053.1,50.5
2023-12-01,2053.08,2112.09,2045.99,2088.4,51.46
2023-12-02,2088.43,2190.48,2086.97,2165.76,55.17
2023-12-03,2165.85,2217.78,2150.3,2194.13,55.64
2023-12-04,2194.12,2274.95,2192.41,2243.29,56.48
2023-12-05,2243.25,2309.82,2187.97,2293.97,57.47
2023-12-06,2293.96,2312.75,2219.61,2232.8,55.0
2023-12-07,2233.08,2384,2222.58,2356.57,56.75
2023-12-08,2356.4,2392.35,2338.25,2358.59,57.54
2023-12-09,2359.01,2403.37,2329.35,2341.28,56.51
2023-12-10,2341.48,2377.61,2322.53,2352.29,57.1
2023-12-11,2352.71,2354.99,2127.36,2224.06,60.64
2023-12-12,2224.15,2243.23,2164.82,2202.34,57.13
2023-12-13,2202.39,2284.98,2144.52,2260.69,57.48
2023-12-14,2260.69,2332.39,2229.9,2315.95,56.63
2023-12-15,2315.81,2318.39,2199.76,2220.31,55.29
2023-12-16,2220.44,2262,2209.68,2227.29,56.09
2023-12-17,2227.19,2247.08,2189.89,2194.75,57.2
2023-12-18,2194.45,2223.31,2115.22,2218.71,58.12
2023-12-19,2218.58,2254.14,2134.43,2177.27,59.13
2023-12-20,2177.32,2264.85,2156.96,2202,56.54
2023-12-21,2201.93,2279.65,2182.83,2239.92,58.46
2023-12-22,2239.92,2344.26,2230.66,2326.35,60.46
2023-12-23,2326.49,2332.69,2266.79,2309.58,62.06
2023-12-24,2309.51,2327.66,2244.79,2265.33,62.22
2023-12-25,2265.45,2304.93,2253.96,2271.53,59.62
